id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21802497,Boston Luxury Suites/3,127718668,Muny,,Dorchester,42.31426835378316,-71.05692492796464,Entire home/apt,250,1,7,2018-04-17,1.51,9,295
21802699,Sophisticated Southie Suite,14447589,Heather,,South Boston,42.3312212891403,-71.05438757302655,Private room,108,1,1,2017-12-17,0.20,1,12
21804259,Cozy apartment with a lovely view of the city!,47128825,Amanda,,East Boston,42.36418510198448,-71.03125134402795,Private room,45,7,0,,,1,75
21806930,"Near NU Columbus Dorm, Orange Line: Ruggles/Mass A",152739901,Eve,,Roxbury,42.33795316936281,-71.08691455896437,Entire home/apt,125,2,7,2018-05-12,5.00,3,69
21810002,Modern Spacious Apt for Holidays & Conferences,145009687,Sasha,,South Boston Waterfront,42.34920513386237,-71.04953754291589,Entire home/apt,210,3,0,,,1,0
21812988,Vibrant 1BR in Mission Hill by Sonder,12243051,Sonder,,Mission Hill,42.331984433077245,-71.09920451838428,Entire home/apt,69,2,2,2018-03-09,0.46,291,79
21815633,Sleek 1BR in Mission Hill by Sonder,12243051,Sonder,,Mission Hill,42.331345538427826,-71.0974169603951,Entire home/apt,69,2,4,2018-03-15,1.03,291,80
21817254,Renovated unit in historical Harrison Hill,157708199,Olive,,Dorchester,42.315205979316744,-71.07119871406584,Private room,70,7,0,,,1,0
21817988,Near BC/Green line. Super convenient location,37626478,Jing,,Brighton,42.33896275224321,-71.14955521032535,Private room,68,2,5,2018-04-23,1.00,1,0
21818022,"Beacon Hill Writer's Lair Studio, Winter Rates",59234220,Lara,,Beacon Hill,42.35979287375427,-71.06773343299108,Entire home/apt,69,2,20,2018-05-07,3.75,5,302
21824260,Private room at Boston Luxury Suites 1/1,127718668,Muny,,Dorchester,42.31240515263219,-71.05550945728245,Private room,100,1,0,,,9,276
21824448,"Private clean room, essentials provided to guests",4690474,Azzurra,,Charlestown,42.37790930831917,-71.0635284139872,Private room,28,16,0,,,1,0
21824635,Private room at Boston Luxury Suites 2/1,127718668,Muny,,Dorchester,42.312769464825244,-71.05538345742984,Private room,110,1,1,2018-02-11,0.31,9,268
21824859,Private room at Boston Luxury Suites 1/2,127718668,Muny,,Dorchester,42.312912130672515,-71.05569633225659,Private room,100,1,2,2017-12-29,0.39,9,297
21826196,Private room at Boston Luxury suites 2/2,127718668,Muny,,Dorchester,42.31369112836134,-71.05691133140384,Private room,110,1,2,2018-05-02,0.41,9,296
21826460,Private room at Boston Luxury Suites 1/3,127718668,Muny,,Dorchester,42.31278975923823,-71.05596518361143,Private room,100,1,2,2018-05-07,0.43,9,296
21826608,Private room at Boston Luxury Suites 2/3,127718668,Muny,,Dorchester,42.3141339646406,-71.05746897734525,Private room,110,1,3,2018-05-13,0.61,9,303
21827162,"Back Bay Beauty w balcony views, fireplace, and handicap accessible and parking",45643083,Victor,,Fenway,42.34935555393509,-71.10669723048701,Entire home/apt,500,2,1,2018-03-28,0.59,1,86
21827688,112 Myrtle Street Apartment 2,82529160,Mario,,Beacon Hill,42.35882555020869,-71.06925954597001,Entire home/apt,175,2,9,2018-04-26,1.70,35,79
21827914,112 Myrtle Street Apartment 3,82529160,Mario,,Beacon Hill,42.35896750726361,-71.0679933367625,Entire home/apt,195,2,1,2018-04-08,0.75,35,40
21828056,112 Myrtle Street Apartment 4,82529160,Mario,,Beacon Hill,42.36028122460564,-71.06934863642306,Entire home/apt,175,2,4,2018-04-05,0.72,35,39
21828270,Open Concept 2BR in Seaport by Sonder,12243051,Sonder,,South Boston,42.342386379968374,-71.05739311299078,Entire home/apt,699,2,2,2018-01-27,0.42,291,155
21828281,112 Myrtle Street Apartment 6,82529160,Mario,,Beacon Hill,42.35870392844903,-71.0691782359171,Entire home/apt,215,2,7,2018-03-04,1.27,35,65
21828356,112 Myrtle Street Apartment 8,82529160,Mario,,Beacon Hill,42.3602649817695,-71.06836689526578,Entire home/apt,223,2,8,2018-04-26,1.75,35,41
21828547,112 Myrtle Street Apartment 10,82529160,Mario,,Beacon Hill,42.35968853993967,-71.06901586666902,Entire home/apt,175,2,4,2018-04-09,0.86,35,51
